epoch:001 | iter:00067 | Loss: 1.895 | top1Acc: 29.909% | top3Acc: 64.144%
epoch:001 | iter:00068 | Loss: 1.891 | top1Acc: 30.078% | top3Acc: 64.246%
epoch:001 | iter:00069 | Loss: 1.888 | top1Acc: 30.265% | top3Acc: 64.346%
epoch:001 | iter:00070 | Loss: 1.884 | top1Acc: 30.413% | top3Acc: 64.475%
epoch:001 | iter:00071 | Loss: 1.880 | top1Acc: 30.568% | top3Acc: 64.657%
epoch:001 | iter:00072 | Loss: 1.877 | top1Acc: 30.588% | top3Acc: 64.768%
epoch:001 | iter:00073 | Loss: 1.875 | top1Acc: 30.715% | top3Acc: 64.865%
epoch:001 | iter:00074 | Loss: 1.872 | top1Acc: 30.796% | top3Acc: 65.023%
epoch:001 | iter:00075 | Loss: 1.867 | top1Acc: 31.000% | top3Acc: 65.167%
epoch:001 | iter:00076 | Loss: 1.863 | top1Acc: 31.178% | top3Acc: 65.378%
epoch:001 | iter:00077 | Loss: 1.861 | top1Acc: 31.291% | top3Acc: 65.463%
epoch:001 | iter:00078 | Loss: 1.858 | top1Acc: 31.380% | top3Acc: 65.565%
epoch:001 | iter:00079 | Loss: 1.855 | top1Acc: 31.507% | top3Acc: 65.754%
epoch:001 | iter:00080 | Loss: 1.851 | top1Acc: 31.797% | top3Acc: 65.898%
epoch:001 | iter:00081 | Loss: 1.848 | top1Acc: 31.867% | top3Acc: 66.040%
epoch:001 | iter:00082 | Loss: 1.845 | top1Acc: 32.003% | top3Acc: 66.206%
epoch:001 | iter:00083 | Loss: 1.842 | top1Acc: 32.172% | top3Acc: 66.256%
epoch:001 | iter:00084 | Loss: 1.841 | top1Acc: 32.180% | top3Acc: 66.295%
epoch:001 | iter:00085 | Loss: 1.842 | top1Acc: 32.169% | top3Acc: 66.287%
epoch:001 | iter:00086 | Loss: 1.840 | top1Acc: 32.231% | top3Acc: 66.379%
epoch:001 | iter:00087 | Loss: 1.837 | top1Acc: 32.390% | top3Acc: 66.460%
epoch:001 | iter:00088 | Loss: 1.834 | top1Acc: 32.520% | top3Acc: 66.557%
epoch:001 | iter:00089 | Loss: 1.832 | top1Acc: 32.619% | top3Acc: 66.661%
epoch:001 | iter:00090 | Loss: 1.828 | top1Acc: 32.743% | top3Acc: 66.788%
epoch:001 | iter:00091 | Loss: 1.825 | top1Acc: 32.855% | top3Acc: 66.913%
epoch:001 | iter:00092 | Loss: 1.823 | top1Acc: 32.940% | top3Acc: 67.026%
epoch:001 | iter:00093 | Loss: 1.821 | top1Acc: 33.014% | top3Acc: 67.095%
epoch:001 | iter:00094 | Loss: 1.819 | top1Acc: 33.103% | top3Acc: 67.212%
epoch:001 | iter:00095 | Loss: 1.817 | top1Acc: 33.191% | top3Acc: 67.278%
epoch:001 | iter:00096 | Loss: 1.814 | top1Acc: 33.203% | top3Acc: 67.407%
epoch:001 | iter:00097 | Loss: 1.812 | top1Acc: 33.239% | top3Acc: 67.534%
epoch:001 | iter:00098 | Loss: 1.810 | top1Acc: 33.323% | top3Acc: 67.642%
epoch:001 | iter:00099 | Loss: 1.808 | top1Acc: 33.396% | top3Acc: 67.740%
epoch:001 | iter:00100 | Loss: 1.807 | top1Acc: 33.438% | top3Acc: 67.766%
epoch:001 | iter:00101 | Loss: 1.805 | top1Acc: 33.516% | top3Acc: 67.868%
epoch:001 | iter:00102 | Loss: 1.804 | top1Acc: 33.509% | top3Acc: 67.923%
epoch:001 | iter:00103 | Loss: 1.800 | top1Acc: 33.708% | top3Acc: 68.083%
epoch:001 | iter:00104 | Loss: 1.795 | top1Acc: 33.849% | top3Acc: 68.239%
epoch:001 | iter:00105 | Loss: 1.793 | top1Acc: 33.973% | top3Acc: 68.311%
epoch:001 | iter:00106 | Loss: 1.790 | top1Acc: 34.058% | top3Acc: 68.448%
epoch:001 | iter:00107 | Loss: 1.789 | top1Acc: 34.112% | top3Acc: 68.465%
epoch:001 | iter:00108 | Loss: 1.786 | top1Acc: 34.303% | top3Acc: 68.562%
epoch:001 | iter:00109 | Loss: 1.782 | top1Acc: 34.425% | top3Acc: 68.678%
epoch:001 | iter:00110 | Loss: 1.782 | top1Acc: 34.418% | top3Acc: 68.686%
epoch:001 | iter:00111 | Loss: 1.780 | top1Acc: 34.474% | top3Acc: 68.785%
epoch:001 | iter:00112 | Loss: 1.778 | top1Acc: 34.577% | top3Acc: 68.841%
epoch:001 | iter:00113 | Loss: 1.778 | top1Acc: 34.610% | top3Acc: 68.861%
epoch:001 | iter:00114 | Loss: 1.775 | top1Acc: 34.725% | top3Acc: 68.949%
epoch:001 | iter:00115 | Loss: 1.773 | top1Acc: 34.837% | top3Acc: 69.008%
epoch:001 | iter:00116 | Loss: 1.770 | top1Acc: 34.947% | top3Acc: 69.134%
epoch:001 | iter:00117 | Loss: 1.767 | top1Acc: 35.069% | top3Acc: 69.251%
epoch:001 | iter:00118 | Loss: 1.764 | top1Acc: 35.130% | top3Acc: 69.333%
epoch:001 | iter:00119 | Loss: 1.762 | top1Acc: 35.176% | top3Acc: 69.400%
epoch:001 | iter:00120 | Loss: 1.761 | top1Acc: 35.234% | top3Acc: 69.492%
epoch:001 | iter:00121 | Loss: 1.760 | top1Acc: 35.298% | top3Acc: 69.583%
epoch:001 | iter:00122 | Loss: 1.758 | top1Acc: 35.368% | top3Acc: 69.659%
epoch:001 | iter:00123 | Loss: 1.757 | top1Acc: 35.442% | top3Acc: 69.741%
epoch:001 | iter:00124 | Loss: 1.756 | top1Acc: 35.496% | top3Acc: 69.808%
epoch:001 | iter:00125 | Loss: 1.756 | top1Acc: 35.562% | top3Acc: 69.838%
epoch:001 | iter:00126 | Loss: 1.754 | top1Acc: 35.652% | top3Acc: 69.878%
